ID_Zaznamu_Psa,Datum_Vytvorenia_Profilu,Hmotnost_Kg,Datum_Narodenia,Pohlavi,ID_Kondicie,ID_Aktivity,Je_Stene_Boolean
991,2017-09-20 18:48:56,25,2011-06-01 18:49:29,pes,22,7,
1197,2017-09-25 09:37:23,25,2011-06-01 09:37:35,pes,22,7,0
3249,2017-11-07 23:34:48,20,2017-01-01 23:35:00,pes,,,1
3467,2017-11-10 10:56:30,,,,,,0
3588,2017-11-14 13:54:02,40,2015-09-01 13:54:25,pes,18,9,0
3621,2017-11-15 10:31:49,5,2004-07-01 10:42:26,pes,21,7,0
3632,2017-11-15 10:57:11,25,2015-06-01 10:57:21,pes,18,7,0
3663,2017-11-15 17:25:20,45,2014-10-01 17:25:42,pes,18,7,0
3665,2017-11-15 17:30:46,45,2010-09-01 17:38:30,pes,18,7,0
3667,2017-11-15 17:45:43,45,2013-08-01 17:46:03,pes,18,7,0
3669,2017-11-15 17:55:57,54,2015-07-01 17:56:06,pes,18,7,0
3671,2017-11-15 17:57:04,25,2014-06-01 17:57:12,pes,18,7,0
3673,2017-11-15 18:08:33,,2014-09-14 18:13:19,pes,,,0
3699,2017-11-17 13:40:57,,2016-03-01 13:47:17,,,,0
3700,2017-11-17 13:48:54,48,2017-09-17 15:09:04,pes,,,1
3704,2017-11-17 17:09:10,45,2014-05-05 17:09:46,pes,18,7,0
3708,2017-11-20 09:14:44,,2014-08-20 09:14:55,,,,0
3731,2017-11-21 13:13:14,25,2014-07-21 13:13:33,pes,18,7,0
3733,2017-11-21 13:15:08,,2013-07-21 13:16:20,pes,,,0
3805,2017-11-23 12:07:46,45,2002-09-23 12:08:09,pes,18,7,0
3812,2017-11-23 12:23:41,40,2012-10-06 08:19:10,pes,18,7,0
4187,2017-12-01 07:58:31,45,2007-07-01 07:59:00,pes,18,,0
4230,2017-12-01 10:09:36,45,2002-08-01 10:09:53,pes,18,7,0
4235,2017-12-01 10:53:42,,,,,,0
4247,2017-12-03 15:07:31,,,,,,0
4248,2017-12-03 15:26:19,,2012-09-03 15:26:40,pes,,,0
4249,2017-12-03 16:10:37,,,,,,0
4259,2017-12-04 09:17:53,,2015-08-04 09:23:46,,,,0
4274,2017-12-06 11:38:19,,,,,,0
4287,2017-12-06 15:57:24,,,,,,0
4288,2017-12-06 16:06:52,45,2015-09-06 16:07:44,pes,19,9,0
4289,2017-12-06 16:09:05,,,,,,0
4291,2017-12-06 16:13:25,,,,,,0
4296,2017-12-06 16:20:33,,,,,,0
4297,2017-12-06 16:21:02,25,1994-07-06 16:21:47,pes,18,7,0
4313,2017-12-07 09:39:16,,2013-10-07 09:40:43,pes,,,0
4324,2017-12-07 12:28:35,6,2017-08-20 12:29:58,fena,,,1
4340,2017-12-07 13:26:18,,,,,,0
4341,2017-12-07 13:27:30,,,,,,0
4342,2017-12-07 13:28:09,,,,,,0
4343,2017-12-07 13:37:54,21,2011-04-07 13:41:15,pes,18,7,0
4377,2017-12-11 09:44:21,,2017-03-12 09:52:15,pes,,,1
4378,2017-12-11 11:30:27,20,2016-06-25 11:32:33,pes,,,1
4380,2017-12-12 09:49:25,,2016-11-13 09:50:33,pes,,,1
4390,2017-12-18 09:41:41,,,,,,0
4426,2017-12-19 08:30:11,45,2003-10-19 08:30:30,pes,18,7,0
4434,2017-12-19 13:07:46,22,2014-10-19 13:13:24,pes,18,7,0
4494,2018-01-04 07:38:50,45,2015-12-04 07:39:10,pes,18,7,0
4602,2018-01-04 16:50:42,45,2014-10-04 16:50:56,pes,18,7,0
4604,2018-01-04 17:11:36,,,,,,0
4605,2018-01-04 17:13:04,,,,,,0
4606,2018-01-04 17:15:18,,,,,,0
